Pick,Tm,Player,Pos,Age,To,wAV,DrAV,G,Cmp,Att,Yds,TD,Att,Yds,TD,Rec,Yds,TD,College/Univ,Year
188,MIN,David Morgan,TE,23,2018,1,1,38,0,0,0,0,0,0,0,16,135,1,Texas-San Antonio,2016
191,DET,Jake Rudock,QB,23,2017,0,0,3,3,5,24,0,0,0,0,0,0,0,Michigan,2016
192,BUF,Kolby Listenbee,WR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCU,2016
199,CIN,Cody Core,WR,22,2019,3,3,51,0,0,0,0,0,0,0,33,388,1,Mississippi,2016
201,JAX,Brandon Allen,QB,24,2024,5,0,18,166,293,1810,11,36,68,0,0,0,0,Arkansas,2016
206,LAR,Mike Thomas,WR,22,2022,2,1,76,0,0,0,0,1,1,0,30,366,1,Southern Miss,2016
207,SFO,Jeff Driskel,QB,23,2024,7,0,25,229,391,2394,16,80,417,3,2,10,0,Louisiana Tech,2016
211,SFO,Kelvin Taylor,RB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,2016
213,SFO,Aaron Burbridge,WR,22,2016,1,1,16,0,0,0,0,0,0,0,7,88,0,Michigan St.,2016
216,DAL,Darius Jackson,RB,22,2018,0,0,4,0,0,0,0,6,16,0,0,0,0,Eastern Michigan,2016
217,DAL,Rico Gathers,TE,22,2018,0,0,15,0,0,0,0,0,0,0,3,45,0,Baylor,2016
223,MIA,Brandon Doughty,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Kentucky,2016
225,NWE,Devin Lucien,WR,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona St.,2016
229,PIT,Demarcus Ayers,WR,22,2016,0,0,2,0,0,0,0,2,-12,0,6,53,1,Houston,2016
230,CHI,Daniel Braverman,WR,22,2016,0,0,3,0,0,0,0,0,0,0,0,0,0,Western Michigan,2016
231,MIA,Thomas Duarte,TE,21,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,UCLA,2016
236,DET,Dwayne Washington,RB,22,2023,4,2,96,0,0,0,0,168,592,1,16,101,0,Washington,2016
237,NOR,Daniel Lasco,RB,23,2017,0,0,10,0,0,0,0,11,32,0,2,11,0,California,2016
238,ATL,Devin Fuller,WR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UCLA,2016
241,NYJ,Charone Peake,WR,23,2018,1,1,31,0,0,0,0,0,0,0,22,214,0,Clemson,2016
242,WAS,Keith Marshall,RB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2016
243,SEA,Kenny Lawler,WR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,2016
247,SEA,Zac Brooks,RB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clemson,2016
252,CAR,Beau Sandland,TE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana St.,2016
