Player,Tm,FantPos,Age,G,GS,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Rushing Att,Rushing Yds,Yards per Rushing Attempt,Rushing TD,Tgt,Rec,Receiving Yds,Yards per Reception,Receiving TD,Fmb,FL,Total TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Chris Johnson,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,3,3,16,1,0,343,392.9,401.9,367.9,197,1,1,2009
Adrian Peterson,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,7,6,18,0,0,278,320.9,332.9,299.4,132,2,2,2009
Maurice Jones-Drew,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,1,16,0,0,271,323.5,330.5,297.0,125,3,3,2009
Aaron Rodgers,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,0,0,10,4,5,0,3,343,343.0,360.0,350.0,115,1,4,2009
Andre Johnson,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,0,9,1,0,214,314.9,317.9,264.4,104,1,5,2009
Ray Rice,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,3,2,8,0,0,248,326.1,334.1,287.1,102,4,6,2009
Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,0,0,137,83,1264,15.23,13,2,1,13,1,0,204,287.4,291.4,245.9,95,2,7,2009
DeSean Jackson,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,1,12,0,0,199,261.3,268.3,230.3,90,3,8,2009
Miles Austin,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,1,0,11,0,0,198,278.8,281.8,238.3,88,4,9,2009
Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,2,0,14,0,0,230,240.0,243.0,235.0,84,5,10,2009
Frank Gore,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,2,13,0,0,227,278.6,286.6,252.6,81,6,11,2009
Larry Fitzgerald,ARI,WR,26,16,16,0,0,0,0,0,0,0,0,0,153,97,1092,11.26,13,0,0,13,0,0,187,284.2,287.2,235.7,78,5,12,2009
Vernon Davis,SFO,TE,25,16,16,0,0,0,0,0,0,0,0,0,128,78,965,12.37,13,0,0,13,0,0,175,252.5,255.5,213.5,76,1,13,2009
Reggie Wayne,IND,WR,31,16,16,0,1,0,0,1,0,0,0,0,149,100,1264,12.64,10,0,0,10,0,0,184,284.4,288.4,235.4,75,6,14,2009
Dallas Clark,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,1,0,10,0,0,172,271.7,274.7,221.7,73,2,15,2009
Roddy White,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,1,0,11,0,0,182,266.5,269.5,224.0,72,7,16,2009
Sidney Rice,MIN,WR,23,16,14,0,1,0,0,0,0,0,0,0,121,83,1312,15.81,8,1,1,8,0,0,177,260.2,264.2,218.7,68,8,17,2009
Ricky Williams,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,2,13,1,0,213,247.5,256.5,231.0,67,7,18,2009
Drew Brees,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,10,6,2,0,1,294,295.4,315.4,305.9,66,2,19,2009
Brandon Marshall,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,0,0,10,0,0,176,276.9,279.9,226.4,66,9,20,2009
Antonio Gates,SDG,TE,29,16,16,0,0,0,0,0,0,0,0,0,114,79,1157,14.65,8,1,0,8,0,0,164,242.7,245.7,203.2,65,3,21,2009
Ryan Grant,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,1,1,11,0,0,209,234.0,241.0,221.5,63,8,22,2009
Vincent Jackson,SDG,WR,26,15,15,0,0,0,0,0,3,11,3.67,0,108,68,1167,17.16,9,0,0,9,0,0,172,239.8,242.8,205.8,62,10,23,2009
Steve Smith,NYG,WR,24,16,15,0,0,0,0,0,0,0,0,0,157,107,1220,11.40,7,0,0,7,0,0,164,271.0,274.0,217.5,54,11,24,2009
Matt Schaub,HOU,QB,28,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,0,0,0,3,2,0,0,1,281,280.5,300.5,295.5,53,4,25,2009
