Player,Tm,FantPos,Age,G,GS,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Rushing Att,Rushing Yds,Yards per Rushing Attempt,Rushing TD,Tgt,Rec,Receiving Yds,Yards per Reception,Receiving TD,Fmb,FL,Total TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Shaun Alexander,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.20,1,5,1,28,0,0,362,376.8,380.8,369.3,226,1,1,2005
Larry Johnson,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,5,4,21,0,0,327,360.3,370.3,343.8,191,2,2,2005
LaDainian Tomlinson,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,3,1,20,0,0,315,366.1,373.1,340.6,179,3,3,2005
Tiki Barber,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,1,1,11,1,0,305,359.0,366.0,332.0,169,4,4,2005
Edgerrin James,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,2,1,14,0,0,266,310.3,317.3,288.3,130,5,5,2005
Steve Smith Sr.,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,2,1,13,0,0,235,337.8,341.8,286.3,119,1,6,2005
Clinton Portis,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.20,0,3,2,11,1,0,242,271.9,279.9,256.9,106,6,7,2005
Antonio Gates,SDG,TE,25,15,15,0,0,0,0,0,0,0,0,0,140,89,1101,12.37,10,0,0,10,0,0,170,259.1,262.1,214.6,93,1,8,2005
Rudi Johnson,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,1,0,12,0,0,227,249.8,252.8,238.3,91,7,9,2005
LaMont Jordan,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,2,1,11,1,0,225,294.8,301.8,259.8,89,8,10,2005
Larry Fitzgerald,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,0,0,10,0,0,205,308.0,311.0,256.5,89,2,11,2005
Chad Johnson,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.60,0,155,97,1432,14.76,9,1,0,9,0,0,201,297.5,300.5,249.0,84,3,12,2005
Santana Moss,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1.00,0,134,84,1483,17.65,9,3,1,9,0,0,200,284.0,288.0,242.0,84,4,13,2005
Joey Galloway,TAM,WR,34,16,16,0,0,0,0,0,2,4,2.00,0,152,83,1287,15.51,10,0,0,10,0,0,189,272.1,275.1,230.6,73,5,14,2005
Torry Holt,STL,WR,29,14,14,0,0,0,0,0,1,2,2.00,0,163,102,1331,13.05,9,2,0,9,0,0,187,289.3,292.3,238.3,71,6,15,2005
Anquan Boldin,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,2,1,7,1,0,187,288.7,292.7,237.7,71,7,16,2005
Carson Palmer,CIN,QB,26,16,16,345,509,3836,32,12,34,41,1.21,1,0,0,0,0,0,5,2,1,0,1,266,265.5,282.5,277.5,70,1,17,2005
Marvin Harrison,IND,WR,33,15,15,0,0,0,0,0,0,0,0,0,134,82,1146,13.98,12,0,0,12,0,0,187,268.6,271.6,227.6,70,8,18,2005
Chris Chambers,MIA,WR,27,16,16,0,0,0,0,0,12,92,7.67,0,166,82,1118,13.63,11,5,2,11,0,0,183,265.0,270.0,224.0,67,9,19,2005
Thomas Jones,CHI,RB,27,15,15,0,0,0,0,0,314,1335,4.25,9,39,26,143,5.50,0,2,2,9,0,0,198,223.8,231.8,210.8,62,9,20,2005
Mike Anderson,DEN,RB,32,15,15,0,0,0,0,0,239,1014,4.24,12,21,18,212,11.78,1,2,2,13,0,0,197,214.6,222.6,205.6,61,10,21,2005
Jeremy Shockey,NYG,TE,25,15,15,0,0,0,0,0,0,0,0,0,121,65,891,13.71,7,0,0,7,1,0,133,198.1,201.1,165.6,56,2,22,2005
Steven Jackson,STL,RB,22,15,15,0,0,0,0,0,254,1046,4.12,8,55,43,320,7.44,2,3,3,10,0,0,191,233.6,242.6,212.1,55,11,23,2005
Tom Brady,NWE,QB,28,16,16,334,530,4110,26,14,27,89,3.30,1,0,0,0,0,0,4,3,1,0,0,249,249.3,269.3,263.3,53,2,24,2005
Peyton Manning,IND,QB,29,16,16,305,453,3747,28,10,33,45,1.36,0,0,0,0,0,0,5,1,0,0,1,246,246.4,260.4,256.4,50,3,25,2005
Warrick Dunn,ATL,RB,30,16,16,0,0,0,0,0,280,1416,5.06,3,37,29,220,7.59,1,3,1,4,0,0,186,214.6,221.6,200.1,50,12,26,2005
Todd Heap,BAL,TE,25,16,16,0,0,0,0,0,0,0,0,0,114,75,855,11.40,7,2,1,7,0,0,126,200.5,204.5,163.0,49,3,27,2005
Hines Ward,PIT,WR,29,15,15,0,0,0,0,0,3,10,3.33,0,114,69,975,14.13,11,1,1,11,0,0,163,231.5,235.5,197.0,46,10,28,2005
Plaxico Burress,NYG,WR,28,16,15,0,0,0,0,0,0,0,0,0,166,76,1214,15.97,7,1,1,7,0,0,161,237.4,241.4,199.4,45,11,29,2005
Terry Glenn,DAL,WR,31,16,16,0,0,0,0,0,2,-4,-2.00,1,119,62,1136,18.32,7,0,0,8,0,0,161,223.2,226.2,192.2,45,12,30,2005
Alge Crumpler,ATL,TE,28,16,16,0,0,0,0,0,0,0,0,0,118,65,877,13.49,5,1,1,5,1,0,118,182.7,186.7,150.2,41,4,31,2005
Chris Cooley,WAS,TE,23,16,16,0,0,0,0,0,0,0,0,0,103,71,774,10.90,7,3,1,7,0,0,117,188.4,192.4,152.9,40,5,32,2005
Donald Driver,GNB,WR,30,16,16,0,0,0,0,0,2,13,6.50,0,146,86,1221,14.20,5,0,0,5,0,0,153,239.4,242.4,196.4,37,13,33,2005
Willie Parker,PIT,RB,25,15,15,0,0,0,0,0,255,1202,4.71,4,24,18,218,12.11,1,4,0,5,0,0,172,190.0,196.0,181.0,36,13,34,2005
Matt Hasselbeck,SEA,QB,30,16,16,294,449,3459,24,9,36,124,3.44,1,0,0,0,0,0,4,2,1,0,0,231,230.8,247.8,239.8,35,4,35,2005
Willis McGahee,BUF,RB,24,16,15,0,0,0,0,0,325,1247,3.84,5,37,28,178,6.36,0,1,1,5,0,0,171,198.5,205.5,184.5,35,14,36,2005
Jason Witten,DAL,TE,23,16,16,0,0,0,0,0,0,0,0,0,89,66,757,11.47,6,0,0,6,0,0,112,177.7,180.7,144.7,35,6,37,2005
Reuben Droughns,CLE,RB,27,16,16,0,0,0,0,0,309,1232,3.99,2,56,39,369,9.46,0,6,1,2,0,0,170,209.1,216.1,189.6,34,15,38,2005
Corey Dillon,NWE,RB,31,12,10,0,0,0,0,0,209,733,3.51,12,26,22,181,8.23,1,1,1,13,0,0,167,189.4,196.4,178.4,32,16,39,2005
Randy Moss,OAK,WR,28,16,15,0,0,0,0,0,0,0,0,0,123,60,1005,16.75,8,0,0,8,0,0,149,208.5,211.5,178.5,32,14,40,2005
T.J. Houshmandzadeh,CIN,WR,28,14,12,0,0,0,0,0,8,62,7.75,1,115,78,956,12.26,7,1,1,8,0,0,148,225.8,229.8,186.8,32,15,41,2005
Brian Westbrook,PHI,RB,26,12,12,0,0,0,0,0,156,617,3.96,3,96,61,616,10.10,4,0,0,7,1,0,167,228.3,234.3,197.8,31,17,42,2005
Keenan McCardell,SDG,WR,35,16,16,0,0,0,0,0,2,6,3.00,0,108,70,917,13.10,9,0,0,9,0,0,146,216.3,219.3,181.3,30,16,43,2005
Eli Manning,NYG,QB,24,16,16,294,557,3762,24,17,29,80,2.76,1,0,0,0,0,0,9,2,1,0,1,224,224.5,246.5,241.5,29,5,44,2005
Domanick Williams,HOU,RB,25,11,11,0,1,0,0,0,230,976,4.24,2,48,39,337,8.64,4,2,1,6,0,0,165,204.3,211.3,184.8,29,18,45,2005
Rod Smith,DEN,WR,35,16,16,0,1,0,0,0,1,7,7.00,0,126,85,1105,13.00,6,2,2,6,0,0,143,228.2,233.2,185.7,27,17,46,2005
Eddie Kennison,KAN,WR,32,16,16,0,0,0,0,0,7,43,6.14,0,108,68,1102,16.21,5,1,1,5,0,0,143,210.5,214.5,176.5,26,18,47,2005
Tony Gonzalez,KAN,TE,29,16,16,0,0,0,0,0,0,0,0,0,116,78,905,11.60,2,0,0,2,0,0,103,180.5,183.5,141.5,26,7,48,2005
Jake Plummer,DEN,QB,31,16,16,277,456,3366,18,7,46,151,3.28,2,0,0,0,0,0,4,2,2,0,1,218,217.7,232.7,224.7,22,6,49,2005
Cadillac Williams,TAM,RB,23,14,14,0,0,0,0,0,290,1178,4.06,6,25,20,81,4.05,0,3,2,6,0,0,158,177.9,182.9,167.9,22,19,50,2005
Jimmy Smith,JAX,WR,36,16,16,0,0,0,0,0,0,0,0,0,128,70,1023,14.61,6,0,0,6,0,0,138,208.3,211.3,173.3,22,19,51,2005
Michael Vick,ATL,QB,25,15,15,214,387,2412,15,13,102,597,5.85,6,1,1,-14,-14.00,0,11,5,6,0,1,217,217.8,241.8,230.3,21,7,52,2005
Reggie Wayne,IND,WR,27,16,16,0,0,0,0,0,0,0,0,0,122,83,1055,12.71,5,1,0,5,0,0,136,218.5,221.5,177.0,19,20,53,2005
Donte' Stallworth,NOR,WR,25,16,13,0,0,0,0,0,2,2,1.00,0,129,70,945,13.50,7,1,1,7,0,0,135,204.7,208.7,169.7,19,21,54,2005
Chris Brown,TEN,RB,24,15,14,0,0,0,0,0,224,851,3.80,5,37,25,327,13.08,2,4,3,7,0,0,154,178.8,187.8,166.3,18,20,55,2005
