Player,Tm,FantPos,Age,G,GS,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Rushing Att,Rushing Yds,Yards per Rushing Attempt,Rushing TD,Tgt,Rec,Receiving Yds,Yards per Reception,Receiving TD,Fmb,FL,Total TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
Trent Green,KAN,QB,35,16,16,317,507,4014,17,10,35,82,2.34,0,0,0,0,0,0,8,4,0,0,1,211,210.8,227.8,220.8,15,8,56,2005
Drew Brees,SDG,QB,26,16,16,323,500,3576,24,15,21,49,2.33,1,1,0,0,0,0,8,5,1,0,0,210,209.9,232.9,224.9,14,9,57,2005
Deion Branch,NWE,WR,26,16,15,0,0,0,0,0,0,0,0,0,125,78,998,12.79,5,0,0,5,0,0,130,207.8,210.8,168.8,14,22,58,2005
Tatum Bell,DEN,RB,24,15,1,0,0,0,0,0,173,921,5.32,8,28,18,104,5.78,0,3,1,8,0,0,149,166.5,173.5,157.5,13,21,59,2005
Joe Jurevicius,SEA,WR,31,16,12,0,0,0,0,0,0,0,0,0,84,55,694,12.62,10,1,0,10,0,0,129,184.4,187.4,156.9,13,23,60,2005
Kerry Collins,OAK,QB,33,15,15,302,565,3759,20,12,17,39,2.29,1,0,0,0,0,0,13,4,1,0,0,208,208.3,227.3,220.3,12,10,61,2005
Drew Bledsoe,DAL,QB,33,16,16,300,499,3639,23,17,34,50,1.47,2,0,0,0,0,0,17,8,2,0,1,207,206.6,234.6,223.6,11,11,62,2005
Julius Jones,DAL,RB,24,13,12,0,0,0,0,0,257,993,3.86,5,45,35,218,6.23,0,4,2,5,0,0,147,182.1,190.1,164.6,11,22,63,2005
Randy McMichael,MIA,TE,26,16,16,0,0,0,0,0,0,0,0,0,104,60,582,9.70,5,1,1,5,0,0,86,146.2,150.2,116.2,9,8,64,2005
Jerramy Stevens,SEA,TE,26,16,11,0,0,0,0,0,0,0,0,0,68,45,554,12.31,5,0,0,5,0,0,85,130.4,133.4,107.9,8,9,65,2005
Jerry Porter,OAK,WR,27,16,14,0,0,0,0,0,1,-8,-8.00,0,142,76,942,12.39,5,1,0,5,0,0,123,199.4,202.4,161.4,7,24,66,2005
Antonio Bryant,CLE,WR,24,16,15,0,0,0,0,0,1,3,3.00,0,123,69,1009,14.62,4,1,1,4,0,0,123,192.2,196.2,157.7,7,26,67,2005
Derrick Mason,BAL,WR,31,16,16,0,0,0,0,0,0,0,0,0,137,86,1073,12.48,3,1,1,3,0,0,123,209.3,213.3,166.3,7,25,68,2005
L.J. Smith,PHI,TE,25,16,16,0,0,0,0,0,0,0,0,0,107,61,682,11.18,3,1,1,3,0,0,84,145.2,149.2,114.7,7,10,69,2005
DeShaun Foster,CAR,RB,25,15,5,0,1,0,0,0,205,879,4.29,2,48,34,372,10.94,1,2,1,3,0,0,141,175.1,182.1,158.1,5,23,70,2005
Heath Miller,PIT,TE,23,16,15,0,0,0,0,0,0,0,0,0,52,39,459,11.77,6,0,0,6,0,0,82,120.9,123.9,101.4,5,11,71,2005
Kevin Curtis,STL,WR,27,16,9,0,0,0,0,0,1,5,5.00,1,97,60,801,13.35,6,2,1,7,0,0,121,180.6,184.6,150.6,4,27,72,2005
Lee Evans,BUF,WR,24,16,15,0,0,0,0,0,4,38,9.50,0,92,48,743,15.48,7,0,0,7,0,0,120,168.1,171.1,144.1,4,28,73,2005
Roy Williams,DET,WR,24,13,12,0,0,0,0,0,0,0,0,0,94,45,687,15.27,8,0,0,8,0,0,117,161.7,164.7,139.2,1,29,74,2005
Jake Delhomme,CAR,QB,30,16,16,262,435,3421,24,16,24,31,1.29,1,0,0,0,0,0,12,7,1,0,0,196,195.9,221.9,211.9,0,12,75,2005
Mark Brunell,WAS,QB,35,16,15,262,454,3050,23,10,42,111,2.64,0,0,0,0,0,0,11,6,0,0,1,195,195.1,217.1,205.1,0,13,76,2005
Steve McNair,TEN,QB,32,14,14,292,476,3161,16,11,32,139,4.34,1,0,0,0,0,0,7,4,1,0,0,180,180.3,201.3,191.3,0,14,77,2005
Brett Favre,GNB,QB,36,16,16,372,607,3881,20,29,18,62,3.44,0,0,0,0,0,0,10,7,0,0,2,173,173.4,212.4,202.4,0,15,78,2005
Aaron Brooks,NOR,QB,29,13,13,240,431,2882,13,17,45,281,6.24,2,0,0,0,0,0,4,2,2,0,0,169,169.4,194.4,186.4,0,16,,2005
Ben Roethlisberger,PIT,QB,23,12,12,168,268,2385,17,9,31,69,2.23,3,0,0,0,0,0,2,1,3,0,0,168,168.3,181.3,177.3,0,17,,2005
Gus Frerotte,MIA,QB,34,16,15,257,494,2996,18,13,27,61,2.26,0,0,0,0,0,0,13,4,0,0,0,164,163.9,183.9,176.9,0,18,,2005
David Carr,HOU,QB,26,16,16,256,423,2488,14,11,56,308,5.50,1,0,0,0,0,0,17,6,1,0,1,160,160.3,183.3,171.3,0,19,,2005
Donovan McNabb,PHI,QB,29,9,9,211,357,2507,16,9,25,55,2.20,1,0,0,0,0,0,8,3,1,0,1,154,153.8,168.8,162.8,0,20,,2005
Byron Leftwich,JAX,QB,25,11,11,175,302,2123,15,5,31,67,2.16,2,0,0,0,0,0,8,3,2,0,0,148,147.6,158.6,152.6,0,21,,2005
Ronnie Brown,MIA,RB,24,15,14,0,0,0,0,0,207,907,4.38,4,47,32,232,7.25,1,4,4,5,0,0,136,167.9,177.9,151.9,0,24,,2005
Stephen Davis,CAR,RB,31,13,11,0,0,0,0,0,180,549,3.05,12,12,5,45,9.00,0,2,0,12,0,0,131,136.4,139.4,133.9,0,25,,2005
Marc Bulger,STL,QB,28,8,8,192,287,2297,14,9,9,29,3.22,0,1,1,1,1.00,0,4,2,0,0,0,129,129.9,143.9,138.4,0,23,,2005
Kurt Warner,ARI,QB,34,10,10,242,375,2713,11,9,13,28,2.15,0,1,1,0,0.00,0,9,5,0,0,1,129,130.3,147.3,138.8,0,22,,2005
Jamal Lewis,BAL,RB,26,15,15,0,0,0,0,0,269,906,3.37,3,44,32,191,5.97,1,5,5,4,0,0,124,155.7,166.7,139.7,0,26,,2005
Mewelde Moore,MIN,RB,23,16,8,0,0,0,0,0,155,662,4.27,1,49,37,339,9.16,2,2,1,4,0,0,122,159.1,166.1,140.6,0,27,,2005
Ricky Williams,MIA,RB,28,12,3,0,0,0,0,0,168,743,4.42,6,20,17,93,5.47,0,1,1,6,0,0,118,134.6,138.6,126.1,0,28,,2005
Keyshawn Johnson,DAL,WR,33,16,14,0,1,0,0,0,1,3,3.00,0,123,71,839,11.82,6,3,3,6,1,0,116,187.2,193.2,151.7,0,30,,2005
Laveranues Coles,NYJ,WR,28,16,16,0,0,0,0,0,0,0,0,0,132,73,845,11.58,5,1,0,5,0,0,115,187.5,190.5,151.0,0,31,,2005
Brad Johnson,MIN,QB,37,15,9,184,294,1885,12,4,18,53,2.94,0,0,0,0,0,0,5,3,0,0,0,115,114.7,124.7,118.7,0,24,,2005
Curtis Martin,NYJ,RB,32,12,12,0,0,0,0,0,220,735,3.34,5,30,24,118,4.92,0,2,1,5,0,0,113,137.3,144.3,125.3,0,29,,2005
Terrell Owens,PHI,WR,32,7,7,0,0,0,0,0,1,2,2.00,0,92,47,763,16.23,6,0,0,6,0,0,113,159.5,162.5,136.0,0,32,,2005
Amani Toomer,NYG,WR,31,16,15,0,0,0,0,0,0,0,0,0,109,60,684,11.40,7,0,0,7,0,0,110,170.4,173.4,140.4,0,33,,2005
Ernest Wilford,JAX,WR,26,16,8,0,0,0,0,0,0,0,0,0,74,41,681,16.61,7,0,0,7,0,0,110,151.1,154.1,130.6,0,34,,2005
Priest Holmes,KAN,RB,32,7,7,0,0,0,0,0,119,451,3.79,6,32,21,197,9.38,1,1,0,7,0,0,107,127.8,133.8,117.3,0,31,,2005
Kevin Jones,DET,RB,23,13,13,0,0,0,0,0,186,664,3.57,5,28,20,109,5.45,0,2,0,5,0,0,107,127.3,133.3,117.3,0,30,,2005
Samkon Gado,GNB,RB,23,8,5,0,1,0,0,0,143,582,4.07,6,12,10,77,7.70,1,4,1,7,0,0,106,115.9,119.9,110.9,0,32,,2005
Eric Moulds,BUF,WR,32,15,15,0,0,0,0,0,0,0,0,0,129,81,816,10.07,4,0,0,4,0,0,106,186.6,189.6,146.1,0,35,,2005
Fred Taylor,JAX,RB,29,11,11,0,0,0,0,0,194,787,4.06,3,18,13,83,6.38,0,0,0,3,0,0,105,118.0,121.0,111.5,0,33,,2005
Joey Harrington,DET,QB,27,12,11,188,330,2021,12,12,24,80,3.33,0,1,1,-4,-4.00,0,7,4,0,0,0,104,105.4,124.4,116.9,0,25,,2005
Trent Dilfer,CLE,QB,33,11,11,199,333,2321,11,12,20,46,2.30,0,0,0,0,0,0,9,7,0,0,0,103,103.4,125.4,115.4,0,26,,2005
Chris Simms,TAM,QB,25,11,10,191,313,2035,10,7,19,31,1.63,0,1,1,-3,-3.00,0,6,4,0,0,0,102,103.2,117.2,109.7,0,27,,2005
Kyle Boller,BAL,QB,24,9,9,171,293,1799,11,12,23,66,2.87,1,1,0,0,0,0,8,2,1,0,0,101,100.6,117.6,112.6,0,28,,2005
Brandon Lloyd,SFO,WR,24,16,15,0,0,0,0,0,0,0,0,0,109,48,733,15.27,5,1,1,5,0,0,101,149.3,153.3,125.3,0,36,,2005
Josh McCown,ARI,QB,26,9,6,163,270,1836,9,11,29,139,4.79,0,0,0,0,0,0,5,1,0,0,0,99,99.3,117.3,110.3,0,29,,2005
Muhsin Muhammad,CHI,WR,32,15,15,0,0,0,0,0,0,0,0,0,136,64,750,11.72,4,0,0,4,0,0,99,163.0,166.0,131.0,0,37,,2005
Kevan Barlow,SFO,RB,26,12,12,0,0,0,0,0,176,581,3.30,3,42,31,241,7.77,0,2,1,3,0,0,98,129.2,136.2,113.7,0,34,,2005
Drew Bennett,TEN,WR,27,13,10,0,1,0,0,0,1,3,3.00,0,109,58,738,12.72,4,0,0,4,0,0,98,156.1,159.1,127.1,0,38,,2005
Marion Barber III,DAL,RB,22,13,2,0,0,0,0,0,138,538,3.90,5,25,18,115,6.39,0,3,0,5,0,0,95,113.3,119.3,104.3,0,35,,2005
Jerome Bettis,PIT,RB,33,12,0,0,0,0,0,0,110,368,3.35,9,4,4,40,10.00,0,0,0,9,0,0,95,98.8,101.8,96.8,0,36,,2005
David Garrard,JAX,QB,27,7,5,98,168,1117,4,1,31,172,5.55,3,0,0,0,0,0,4,1,3,1,0,94,93.9,101.9,94.9,0,30,,2005
Eric Parker,SDG,WR,26,15,9,0,0,0,0,0,4,55,13.75,0,80,57,725,12.72,3,2,1,3,0,0,94,151.0,155.0,122.5,0,39,,2005
Bobby Engram,SEA,WR,32,13,13,0,0,0,0,0,0,0,0,0,97,67,778,11.61,3,2,2,3,0,0,92,158.8,163.8,125.3,0,40,,2005
Ashley Lelie,DEN,WR,25,16,13,0,0,0,0,0,5,84,16.80,0,88,42,770,18.33,1,0,0,1,0,0,91,133.4,136.4,112.4,0,41,,2005
Brooks Bollinger,NYJ,QB,26,11,9,150,266,1558,7,6,35,135,3.86,0,0,0,0,0,0,3,1,0,0,0,90,89.8,102.8,95.8,0,31,,2005
Antonio Chatman,GNB,WR,26,16,3,0,0,0,0,0,8,34,4.25,0,86,49,549,11.20,4,0,0,5,0,0,88,137.3,140.3,112.8,0,42,,2005
T.J. Duckett,ATL,RB,24,14,0,0,0,0,0,0,121,380,3.14,8,7,6,63,10.50,0,2,2,8,0,0,88,94.3,99.3,91.3,0,37,,2005
Frank Gore,SFO,RB,22,14,1,0,0,0,0,0,127,608,4.79,3,22,15,131,8.73,0,2,2,3,0,0,88,102.9,110.9,95.4,0,39,,2005
Greg Jones,JAX,FB,24,14,13,0,0,0,0,0,151,575,3.81,4,15,10,65,6.50,0,0,0,4,0,0,88,98.0,101.0,93.0,0,38,,2005
Marty Booker,MIA,WR,29,15,12,0,1,0,0,0,0,0,0,0,86,39,686,17.59,3,0,0,3,0,0,87,125.6,128.6,106.1,0,44,,2005
David Givens,NWE,WR,25,13,10,0,0,0,0,0,2,13,6.50,0,96,59,738,12.51,2,0,0,2,0,0,87,146.1,149.1,116.6,0,43,,2005
Michael Pittman,TAM,RB,30,16,4,0,0,0,0,0,70,436,6.23,1,46,36,300,8.33,1,1,0,2,0,0,86,121.6,127.6,103.6,0,40,,2005
Antowain Smith,NOR,RB,33,16,7,0,0,0,0,0,166,659,3.97,3,15,12,46,3.83,0,2,2,3,0,0,85,96.5,101.5,90.5,0,41,,2005
Travis Taylor,MIN,WR,27,16,13,0,0,0,0,0,2,3,1.50,0,90,50,604,12.08,4,1,0,4,0,0,85,134.7,137.7,109.7,0,45,,2005
Justin McCareins,NYJ,WR,27,16,16,0,0,0,0,0,1,8,8.00,0,102,43,713,16.58,2,0,0,2,0,0,84,127.1,130.1,105.6,0,46,,2005
Antwaan Randle El,PIT,WR,26,16,15,3,3,67,1,0,12,73,6.08,0,69,35,558,15.94,1,4,2,3,0,0,84,118.8,123.8,101.3,0,47,,2005
Marcus Robinson,MIN,WR,30,15,9,0,0,0,0,0,0,0,0,0,57,31,515,16.61,5,0,0,5,1,0,84,114.5,117.5,99.0,0,48,,2005
Michael Bennett,MIN,RB,27,16,6,0,0,0,0,0,126,473,3.75,3,31,27,124,4.59,2,5,4,5,0,0,82,108.7,118.7,95.2,0,42,,2005
Reggie Brown,PHI,WR,24,16,11,0,0,0,0,0,1,5,5.00,0,79,43,571,13.28,4,1,0,4,0,0,82,124.6,127.6,103.1,0,49,,2005
Kelly Holcomb,BUF,QB,32,10,8,155,230,1509,10,8,18,11,0.61,1,0,0,0,0,0,13,5,1,0,0,81,81.5,97.5,89.5,0,32,,2005
Andre Johnson,HOU,WR,24,13,13,0,0,0,0,0,6,10,1.67,0,114,63,688,10.92,2,1,1,2,0,0,80,142.8,146.8,111.3,0,50,,2005
Daunte Culpepper,MIN,QB,28,7,7,139,216,1564,6,12,24,147,6.13,1,0,0,0,0,0,5,3,1,0,1,79,79.3,100.3,91.3,0,33,,2005
Brian Finneran,ATL,WR,29,16,7,0,0,0,0,0,0,0,0,0,81,50,611,12.22,2,0,0,2,3,0,79,129.1,132.1,104.1,0,51,,2005
Matt Jones,JAX,WR,22,16,1,2,3,12,0,0,12,51,4.25,0,69,36,432,12.00,5,2,0,5,0,0,79,114.8,117.8,96.8,0,52,,2005
J.P. Losman,BUF,QB,24,9,8,113,228,1340,8,8,31,154,4.97,0,0,0,0,0,0,7,3,0,0,0,79,79.0,96.0,87.0,0,35,,2005
Kyle Orton,CHI,QB,23,15,15,190,368,1869,9,13,24,44,1.83,0,0,0,0,0,0,12,5,0,0,0,79,79.2,100.2,92.2,0,34,,2005
Chester Taylor,BAL,RB,26,15,1,0,0,0,0,0,117,487,4.16,0,53,41,292,7.12,1,3,3,1,0,0,78,118.9,127.9,98.4,0,43,,2005
Ben Troupe,TEN,TE,23,15,11,0,0,0,0,0,0,0,0,0,80,55,530,9.64,4,2,0,4,0,0,77,132.0,135.0,104.5,0,12,,2005
Chris Henry,CIN,WR,22,14,5,0,0,0,0,0,0,0,0,0,50,31,422,13.61,6,2,1,6,0,0,76,107.2,111.2,91.7,0,53,,2005
Mike McMahon,PHI,QB,26,9,7,94,207,1158,5,8,34,118,3.47,3,0,0,0,0,0,8,2,3,0,0,76,76.1,92.1,84.1,0,36,,2005
Corey Bradford,HOU,WR,30,16,6,0,0,0,0,0,1,-2,-2.00,0,66,34,436,12.82,5,0,0,5,1,0,75,109.4,112.4,92.4,0,54,,2005
Mike Alstott,TAM,FB,32,16,7,0,0,0,0,0,34,80,2.35,6,38,25,222,8.88,1,0,0,7,1,0,74,99.2,102.2,86.7,0,45,,2005
Doug Gabriel,OAK,WR,25,14,2,0,0,0,0,0,1,5,5.00,0,72,37,554,14.97,3,0,0,3,0,0,74,110.9,113.9,92.4,0,55,,2005
Jonathan Wells,HOU,RB,26,15,6,0,0,0,0,0,90,325,3.61,4,27,22,179,8.14,0,1,0,4,0,0,74,96.4,102.4,85.4,0,44,,2005
Anthony Wright,BAL,QB,29,9,7,164,266,1582,6,9,18,68,3.78,0,0,0,0,0,0,5,1,0,0,0,74,74.1,87.1,83.1,0,37,,2005
Dallas Clark,IND,TE,26,15,14,0,0,0,0,0,0,0,0,0,52,37,488,13.19,4,0,0,4,0,0,73,109.8,112.8,91.3,0,13,,2005
Isaac Bruce,STL,WR,33,11,10,0,0,0,0,0,0,0,0,0,71,36,525,14.58,3,0,0,3,0,0,71,106.5,109.5,88.5,0,56,,2005
Chris Perry,CIN,RB,24,14,2,0,0,0,0,0,61,279,4.57,0,62,51,328,6.43,2,2,1,2,0,0,71,121.7,128.7,96.2,0,47,,2005
Artose Pinner,DET,RB,27,16,2,0,0,0,0,0,106,349,3.29,3,25,21,181,8.62,0,0,0,3,0,0,71,92.0,98.0,81.5,0,46,,2005
Braylon Edwards,CLE,WR,22,10,7,0,0,0,0,0,0,0,0,0,59,32,512,16.00,3,0,0,3,0,0,69,101.2,104.2,85.2,0,58,,2005
Joe Horn,NOR,WR,33,13,13,0,0,0,0,0,0,0,0,0,103,49,654,13.35,1,2,1,1,0,0,69,118.4,122.4,93.9,0,57,,2005
Mark Clayton,BAL,WR,23,14,10,0,1,0,0,0,8,33,4.13,1,87,44,471,10.70,2,0,0,3,0,0,68,112.4,115.4,90.4,0,59,,2005
Marcus Pollard,DET,TE,33,16,16,0,0,0,0,0,0,0,0,0,79,46,516,11.22,3,1,1,3,0,0,68,113.6,117.6,90.6,0,14,,2005
Dante Hall,KAN,WR,27,16,2,0,0,0,0,0,7,11,1.57,0,51,34,436,12.82,3,5,1,4,0,0,67,100.7,104.7,83.7,0,64,,2005
Darrell Jackson,SEA,WR,27,6,6,0,0,0,0,0,1,7,7.00,0,55,38,482,12.68,3,0,0,3,0,0,67,104.9,107.9,85.9,0,62,,2005
